Entry ID,word,definition,plural form,recordings,categories,breakdowns,stress,plural stress,variants,see alsos,public notes,private notes,tags
1,bilaa,abalone,,,noun,,2,,,,,,
2,da'ak_hlxw; da'ak_xw,be able to; attain; get to,,,transitive verb,,2,,,,,,CPO
3,sdil,accompany; go with,,,transitive verb,,1,,,,,,
4,ban,ache,binban,,intransitive verb,,1,2,,,,,
5,jag_a; jog_o,across,,,preverb,,1,,,,,,
6,sg_a,across the way,,,preverb,,,,,,,,
7,balim,act like one is X,,,preverb,,1,,,,,,
8,g_al k_'an,Adam's apple,,,noun,,2,,,,,,
9,yuuhlimxw; yuuhlimx_,advise,,,transitive verb,,1,,,,,yuuhlimx_? / noun?,
10,dax_winst,adze,,,noun,,2,,,,,,
11,x_pts'axw,be afraid; be scared,lax_bits'iixw,,intransitive verb,,1,3,,,,,
12,g_alan,after; behind; in back of; in path of,,,noun,,2,,,,,,
13,tk_'al,against,,,preverb,,,,,,,,
14,hlibalt,against; opposing,,,preverb,,2,,,,,,
15,ha,air,,,noun,,1,,,,,,
16,gipaygunsxw,airplane,,,noun,,2,,,,,,
17,luux; am luux,alder tree,,,noun,,1; 2,,,,,,
18,didils,be alive,dildils,,intransitive verb,,2,2,,,,,
19,gwalk_'a; walk_'a,all,,,modifier,,1,,,,,,
20,xwhlii,all over,,,preverb,,,,,,,,
21,g_aniwila; g_anwila,all the time; continually; still; always,,,adverb,,1,,,,"contains the complementizer wila ""how, in what manner""",,dep marker
22,mooji,almost,,,subordinator,,1,,,,,,dep marker
23,upji,in case; just about,,,subordinator,,1,,,,,"only ""in case""?",dep marker
24,wisin,along the inside,,,preverb,,1,,,,,,
25,hahl,along the side,,,preverb,,,,,,,,
26,tx_as,along the surface of a long object,,,preverb,,,,,,,,
27,yag_ayt,already; however; rather,,,modifier,,1,,,,,,
28,sg_apdiihl,among,,,,,1,,,,,,
29,sbag_ayt; sbaayt,among; between,,,modifier,,1,,,,,,
30,g_an a'lax_,anger,,,noun,,2,,,,,,
31,a'lax_,be angry; be mad,,,intransitive verb,,1,,,,,,
